from_airport,from_city,from_country,from_long,from_lat,to_airport,to_city,to_country,to_long,to_lat,airline,airline_country,distance
Ottawa Macdonald Cartier Intl,Ottawa,Canada,-75.449,45.537,Charlottetown,Charlottetown,Canada,-62.536,46.483,Air Canada,Canada,1001
Ottawa Macdonald Cartier Intl,Ottawa,Canada,-75.449,45.537,St Johns Intl,St. John's,Canada,-52.587,48.031,Air Canada,Canada,1755
Ottawa Macdonald Cartier Intl,Ottawa,Canada,-75.449,45.537,Lester B Pearson Intl,Toronto,Canada,-79.385,44.128,Air Canada,Canada,347
Prince Rupert,Prince Pupert,Canada,-130.075,54.476,Vancouver Intl,Vancouver,Canada,-122.641,49.323,Air Canada,Canada,766
Quebec Jean Lesage Intl,Quebec,Canada,-70.989,47.318,Gaspe,Gaspe,Canada,-64.132,49.292,Air Canada,Canada,552
Quebec Jean Lesage Intl,Quebec,Canada,-70.989,47.318,Ottawa Macdonald Cartier Intl,Ottawa,Canada,-75.449,45.537,Air Canada,Canada,394
Quebec Jean Lesage Intl,Quebec,Canada,-70.989,47.318,Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Air Canada,Canada,260
Quebec Jean Lesage Intl,Quebec,Canada,-70.989,47.318,Lester B Pearson Intl,Toronto,Canada,-79.385,44.128,Air Canada,Canada,741
Quebec Jean Lesage Intl,Quebec,Canada,-70.989,47.318,Sept Iles,Sept-iles,Canada,-65.776,50.372,Air Canada,Canada,510
Windsor,Windsor,Canada,-82.926,42.459,Lester B Pearson Intl,Toronto,Canada,-79.385,44.128,Air Canada,Canada,341
Lethbridge,Lethbridge,Canada,-112.667,50.05,Calgary Intl,Calgary,Canada,-113.368,51.189,Air Canada,Canada,135
Greater Moncton Intl,Moncton,Canada,-64.465,46.187,Halifax Intl,Halifax,Canada,-63.182,45.468,Air Canada,Canada,127
Greater Moncton Intl,Moncton,Canada,-64.465,46.187,Ottawa Macdonald Cartier Intl,Ottawa,Canada,-75.449,45.537,Air Canada,Canada,852
Greater Moncton Intl,Moncton,Canada,-64.465,46.187,Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Air Canada,Canada,704
Greater Moncton Intl,Moncton,Canada,-64.465,46.187,Lester B Pearson Intl,Toronto,Canada,-79.385,44.128,Air Canada,Canada,1190
Comox,Comox,Canada,-124.812,50.184,Campbell River,Campbell River,Canada,-124.785,50.584,Air Canada,Canada,44
Comox,Comox,Canada,-124.812,50.184,Vancouver Intl,Vancouver,Canada,-122.641,49.323,Air Canada,Canada,182
Regina Intl,Regina,Canada,-104.444,50.719,Denver Intl,Denver,United States,-104.456,40.436,Air Canada,Canada,1143
Regina Intl,Regina,Canada,-104.444,50.719,Chicago Ohare Intl,Chicago,United States,-87.842,42.631,Air Canada,Canada,1547
Regina Intl,Regina,Canada,-104.444,50.719,Edmonton Intl,Edmonton,Canada,-113.3,53.516,Air Canada,Canada,679
Regina Intl,Regina,Canada,-104.444,50.719,Vancouver Intl,Vancouver,Canada,-122.641,49.323,Air Canada,Canada,1305
Regina Intl,Regina,Canada,-104.444,50.719,Winnipeg Intl,Winnipeg,Canada,-96.734,50.516,Air Canada,Canada,544
Regina Intl,Regina,Canada,-104.444,50.719,Saskatoon J G Diefenbaker Intl,Saskatoon,Canada,-106.5,52.284,Air Canada,Canada,224
Regina Intl,Regina,Canada,-104.444,50.719,Calgary Intl,Calgary,Canada,-113.368,51.189,Air Canada,Canada,626
Regina Intl,Regina,Canada,-104.444,50.719,Lester B Pearson Intl,Toronto,Canada,-79.385,44.128,Air Canada,Canada,2010
Thunder Bay,Thunder Bay,Canada,-88.874,48.619,Winnipeg Intl,Winnipeg,Canada,-96.734,50.516,Air Canada,Canada,604
Thunder Bay,Thunder Bay,Canada,-88.874,48.619,Lester B Pearson Intl,Toronto,Canada,-79.385,44.128,Air Canada,Canada,881
Grande Prairie,Grande Prairie,Canada,-118.809,55.299,Edmonton Intl,Edmonton,Canada,-113.3,53.516,Air Canada,Canada,407
Grande Prairie,Grande Prairie,Canada,-118.809,55.299,Calgary Intl,Calgary,Canada,-113.368,51.189,Air Canada,Canada,582
Gander Intl,Gander,Canada,-54.281,49.561,Halifax Intl,Halifax,Canada,-63.182,45.468,Air Canada,Canada,807
Gander Intl,Gander,Canada,-54.281,49.561,Goose Bay,Goose Bay,Canada,-60.044,53.531,Air Canada,Canada,594
Gander Intl,Gander,Canada,-54.281,49.561,St Johns Intl,St. John's,Canada,-52.587,48.031,Air Canada,Canada,210
Sydney,Sydney,Canada,-59.413,46.268,Halifax Intl,Halifax,Canada,-63.182,45.468,Air Canada,Canada,305
Quesnel,Quesnel,Canada,-122.184,53.043,Vancouver Intl,Vancouver,Canada,-122.641,49.323,Air Canada,Canada,414
Quesnel,Quesnel,Canada,-122.184,53.043,Williams Lake,Williams Lake,Canada,-121.424,52.305,Air Canada,Canada,96
Sudbury,Sudbury,Canada,-80.665,47.041,Lester B Pearson Intl,Toronto,Canada,-79.385,44.128,Air Canada,Canada,338
Saint John,St. John,Canada,-65.818,45.526,Halifax Intl,Halifax,Canada,-63.182,45.468,Air Canada,Canada,205
Saint John,St. John,Canada,-65.818,45.526,Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Air Canada,Canada,602
Saint John,St. John,Canada,-65.818,45.526,Lester B Pearson Intl,Toronto,Canada,-79.385,44.128,Air Canada,Canada,1079
Timmins,Timmins,Canada,-80.962,48.949,Lester B Pearson Intl,Toronto,Canada,-79.385,44.128,Air Canada,Canada,549
City Centre,Toronto,Canada,-78.994,44.045,Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Air Canada,Canada,468
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,V C Bird Intl,Antigua,Antigua and Barbuda,-61.655,17.227,Air Canada,Canada,3361
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Samaná El Catey International Airport,Samana,Dominican Republic,-69.57,19.445,Air Canada,Canada,2951
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Bradley Intl,Windsor Locks,United States,-72.473,42.564,Air Canada,Canada,368
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Grantley Adams Intl,Bridgetown,Barbados,-59.155,13.124,Air Canada,Canada,3876
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,General Edward Lawrence Logan Intl,Boston,United States,-70.342,42.607,Air Canada,Canada,436
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Brussels Natl,Brussels,Belgium,4.807,51.502,Air Canada,Canada,5512
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Cayo Coco Airport,Cayo Coco,Cuba,-78.185,22.855,Air Canada,Canada,2583
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Charles De Gaulle,Paris,France,2.916,49.021,Air Canada,Canada,5516
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Cancun Intl,Cancun,Mexico,-86.796,21.06,Air Canada,Canada,3001
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Vilo Acuna Intl,Cayo,Cuba,-81.244,22.027,Air Canada,Canada,2731
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Cozumel Intl,Cozumel,Mexico,-86.877,20.87,Air Canada,Canada,3024
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Ronald Reagan Washington Natl,Washington,United States,-76.397,39.42,Air Canada,Canada,744
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Denver Intl,Denver,United States,-104.456,40.436,Air Canada,Canada,2559
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Newark Liberty Intl,Newark,United States,-73.615,41.154,Air Canada,Canada,514
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Le Lamentin,Fort-de-france,Martinique,-60.339,14.985,Air Canada,Canada,3641
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,-79.588,26.12,Air Canada,Canada,2250
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Frankfurt Main,Frankfurt,Germany,8.905,50.044,Air Canada,Canada,5843
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Geneva Cointrin,Geneva,Switzerland,6.181,46.396,Air Canada,Canada,5871
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Frank Pais Intl,Holguin,Cuba,-75.859,21.309,Air Canada,Canada,2729
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Washington Dulles Intl,Washington,United States,-77.094,39.574,Air Canada,Canada,748
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,George Bush Intcntl Houston,Houston,United States,-94.903,30.64,Air Canada,Canada,2497
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Mc Carran Intl,Las Vegas,United States,-114.588,36.133,Air Canada,Canada,3563
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Los Angeles Intl,Los Angeles,United States,-118.014,34.57,Air Canada,Canada,3919
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,La Guardia,New York,United States,-73.788,41.295,Air Canada,Canada,499
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Heathrow,London,United Kingdom,-0.103,51.795,Air Canada,Canada,5191
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Sangster Intl,Montego Bay,Jamaica,-77.856,18.839,Air Canada,Canada,3021
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Orlando Intl,Orlando,United States,-80.849,28.715,Air Canada,Canada,2002
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Miami Intl,Miami,United States,-79.818,26.322,Air Canada,Canada,2234
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Franz Josef Strauss,Munich,Germany,12.31,48.589,Air Canada,Canada,6138
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Lynden Pindling Intl,Nassau,Bahamas,-77.111,25.064,Air Canada,Canada,2325
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Chicago Ohare Intl,Chicago,United States,-87.842,42.631,Air Canada,Canada,1188
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Toussaint Louverture Intl,Port-au-prince,Haiti,-71.821,18.966,Air Canada,Canada,2986
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Palm Beach Intl,West Palm Beach,United States,-79.493,27.138,Air Canada,Canada,2138
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Providenciales,Providenciales,Turks and Caicos Islands,-71.777,22.289,Air Canada,Canada,2617
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Gregorio Luperon Intl,Puerto Plata,Dominican Republic,-70.284,20.263,Air Canada,Canada,2853
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Le Raizet,Pointe-a-pitre,Guadeloupe,-61.22,16.442,Air Canada,Canada,3458
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Punta Cana Intl,Punta Cana,Dominican Republic,-67.94,18.945,Air Canada,Canada,3028
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Licenciado Gustavo Diaz Ordaz Intl,Puerto Vallarta,Mexico,-104.757,21.133,Air Canada,Canada,3939
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Luis Munoz Marin Intl,San Juan,Puerto Rico,-65.337,18.732,Air Canada,Canada,3102
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Abel Santamaria,Santa Clara,Cuba,-79.907,22.82,Air Canada,Canada,2616
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Tampa Intl,Tampa,United States,-82.223,28.625,Air Canada,Canada,2053
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Hewanorra Intl,Hewandorra,Saint Lucia,-60.921,14.221,Air Canada,Canada,3704
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Juan Gualberto Gomez Intl,Varadero,Cuba,-81.059,23.057,Air Canada,Canada,2615
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Baie Comeau,Baie Comeau,Canada,-67.675,49.22,Air Canada,Canada,584
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Bagotville,Bagotville,Canada,-70.994,48.55,Air Canada,Canada,363
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Edmonton Intl,Edmonton,Canada,-113.3,53.516,Air Canada,Canada,2943
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Fredericton,Fredericton,Canada,-66.229,46.448,Air Canada,Canada,570
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Halifax Intl,Halifax,Canada,-63.182,45.468,Air Canada,Canada,807
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Chapais Airport,Chibougamau,Canada,-74.214,50.286,Air Canada,Canada,502
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Ottawa Macdonald Cartier Intl,Ottawa,Canada,-75.449,45.537,Air Canada,Canada,148
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Quebec Jean Lesage Intl,Quebec,Canada,-70.989,47.318,Air Canada,Canada,260
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Greater Moncton Intl,Moncton,Canada,-64.465,46.187,Air Canada,Canada,704
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Saint John,St. John,Canada,-65.818,45.526,Air Canada,Canada,602
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,City Centre,Toronto,Canada,-78.994,44.045,Air Canada,Canada,468
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Rouyn Noranda,Rouyn,Canada,-78.726,48.343,Air Canada,Canada,483
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Val D Or,Val D'or,Canada,-77.638,48.088,Air Canada,Canada,401
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Vancouver Intl,Vancouver,Canada,-122.641,49.323,Air Canada,Canada,3638
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Winnipeg Intl,Winnipeg,Canada,-96.734,50.516,Air Canada,Canada,1788
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Calgary Intl,Calgary,Canada,-113.368,51.189,Air Canada,Canada,2955
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Charlottetown,Charlottetown,Canada,-62.536,46.483,Air Canada,Canada,852
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,St Johns Intl,St. John's,Canada,-52.587,48.031,Air Canada,Canada,1608
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Mont Joli,Mont Joli,Canada,-67.681,49.014,Air Canada,Canada,570
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Lester B Pearson Intl,Toronto,Canada,-79.385,44.128,Air Canada,Canada,493
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Sept Iles,Sept-iles,Canada,-65.776,50.372,Air Canada,Canada,770
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Bathurst Airport,Bathurst,Canada,-65.565,48.049,Air Canada,Canada,657
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Ixtapa Zihuatanejo Intl,Zihuatanejo,Mexico,-101.101,18.002,Air Canada,Canada,3996
Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Zurich,Zurich,Switzerland,8.915,47.774,Air Canada,Canada,5970
Rouyn Noranda,Rouyn,Canada,-78.726,48.343,Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Air Canada,Canada,483
Rouyn Noranda,Rouyn,Canada,-78.726,48.343,Val D Or,Val D'or,Canada,-77.638,48.088,Air Canada,Canada,85
Val D Or,Val D'or,Canada,-77.638,48.088,Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Air Canada,Canada,401
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Auckland Intl,Auckland,New Zealand,175.319,-36.347,Air Canada,Canada,11312
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Cancun Intl,Cancun,Mexico,-86.796,21.06,Air Canada,Canada,4452
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Denver Intl,Denver,United States,-104.456,40.436,Air Canada,Canada,1733
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Newark Liberty Intl,Newark,United States,-73.615,41.154,Air Canada,Canada,3872
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Frankfurt Main,Frankfurt,Germany,8.905,50.044,Air Canada,Canada,8041
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Hong Kong Intl,Hong Kong,Hong Kong,114.524,22.514,Air Canada,Canada,10237
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Honolulu Intl,Honolulu,United States,-157.871,21.531,Air Canada,Canada,4372
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Incheon Intl,Seoul,South Korea,126.75,37.781,Air Canada,Canada,8177
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Kona Intl At Keahole,Kona,United States,-155.41,20.231,Air Canada,Canada,4342
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Mc Carran Intl,Las Vegas,United States,-114.588,36.133,Air Canada,Canada,1605
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Los Angeles Intl,Los Angeles,United States,-118.014,34.57,Air Canada,Canada,1683
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Heathrow,London,United Kingdom,-0.103,51.795,Air Canada,Canada,7530
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Licenciado Benito Juarez Intl,Mexico City,Mexico,-98.454,19.727,Air Canada,Canada,3930
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Narita Intl,Tokyo,Japan,140.643,36.274,Air Canada,Canada,7474
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Kahului,Kahului,United States,-156.051,21.497,Air Canada,Canada,4265
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Chicago Ohare Intl,Chicago,United States,-87.842,42.631,Air Canada,Canada,2763
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Portland Intl,Portland,United States,-122.33,45.981,Air Canada,Canada,372
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Capital Intl,Beijing,China,116.974,40.133,Air Canada,Canada,8484
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Pudong,Shanghai,China,122.342,31.238,Air Canada,Canada,8999
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Licenciado Gustavo Diaz Ordaz Intl,Puerto Vallarta,Mexico,-104.757,21.133,Air Canada,Canada,3510
Vancouver Intl,Vancouver,Canada,-122.641,49.323,San Diego Intl,San Diego,United States,-116.65,33.222,Air Canada,Canada,1857
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Seattle Tacoma Intl,Seattle,United States,-121.849,47.748,Air Canada,Canada,184
Vancouver Intl,Vancouver,Canada,-122.641,49.323,San Francisco Intl,San Francisco,United States,-121.959,38.031,Air Canada,Canada,1256
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Los Cabos Intl,San Jose Del Cabo,Mexico,-109.536,23.253,Air Canada,Canada,3117
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Sydney Intl,Sydney,Australia,151.295,-33.911,Air Canada,Canada,12532
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Juan Gualberto Gomez Intl,Varadero,Cuba,-81.059,23.057,Air Canada,Canada,4646
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Campbell River,Campbell River,Canada,-124.785,50.584,Air Canada,Canada,207
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Nanaimo,Nanaimo,Canada,-123.784,49.087,Air Canada,Canada,87
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Castlegar,Castlegar,Canada,-117.388,49.493,Air Canada,Canada,380
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Edmonton Intl,Edmonton,Canada,-113.3,53.516,Air Canada,Canada,797
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Kamloops,Kamloops,Canada,-120.075,51.17,Air Canada,Canada,274
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Kelowna,Kelowna,Canada,-118.963,50.593,Air Canada,Canada,298
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Fort Mcmurray,Fort Mcmurray,Canada,-110.704,57.088,Air Canada,Canada,1170
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Ottawa Macdonald Cartier Intl,Ottawa,Canada,-75.449,45.537,Air Canada,Canada,3516
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Prince Rupert,Prince Pupert,Canada,-130.075,54.476,Air Canada,Canada,766
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Comox,Comox,Canada,-124.812,50.184,Air Canada,Canada,182
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Regina Intl,Regina,Canada,-104.444,50.719,Air Canada,Canada,1305
Vancouver Intl,Vancouver,Canada,-122.641,49.323,Quesnel,Quesnel,Canada,-122.184,53.043,Air Canada,Canada,414
